spu_id	Orthogroup	family_member	common_name	synonyms	best_genbank_hit
124	SPU_000252	OG0007405	NA	Med1	mediator complex subunit 1	XP_537654.2
125	SPU_000253	OG0002617	Ras superfamily, RAB family	RbjL1	Ras-associated protein Rap1-LIKE 1	DAA01320.1
126	SPU_000254	OG0000263	RING-finger superfamily	Trim3l	tripartite motif-containing 3	NP_061368.1
127	SPU_000255	OG0012010	nuclear hormone receptor	Nr4a	nuclear orphan receptor, nuclear receptor subfamily 4 group A, Nr4a	NP_038641
128	SPU_000256	OG0004694	NA	Becn1	beclin 1	NP_003757
129	SPU_000257	OG0009859	NA	Rab3fap1	RAB3 GTPase-activating protein	NP_036365.1
130	SPU_000258	OG0006921	RhoGAP	Fam13A1_1	Family with sequence similarity 13, member A1	NM_174692
131	SPU_000259	OG0000143	RhoGAP	Arhgap28_1	Rho GTPase activating protein 28-like (partial duplicate), Arhgap18/28/40-like, Rhogap18	XP_011670293
132	SPU_000260	OG0010442	phospholipase_B superfamily	PbL1	putative phospholipase B-like protein 1 precursor	XP_001497171.1
133	SPU_000261	OG0002948	NA	Hypp_1247	hypothetical protein-1247	CAG00525.1
134	SPU_000262	OG0004774	Mab-21 superfamily	Smcr7L	Smith Megenis syndrome chromosome region, candidate 7 like	XP_001379187.1
135	SPU_000268	OG0000566	DUF1981 superfamily	Mon2l	MON2 (endosomal peripheral membrane protein) homolog isoform (various)	XP_001521048.1
136	SPU_000270	OG0005111	NA	Xpo6	Exportin 6	BC058090
137	SPU_000275	OG0002881	NA	Hao1	Hydroxyacid oxidase 1 (HAOX1) (Glycolate oxidase) (GOX)	13124294
138	SPU_000276	OG0005672	homeobox-PRD	PaxC	paired box C	XP_002739022
139	SPU_000277	OG0007110	NA	Ttll9	tubulin tyrosine ligase-like family, member 9	NP_001008409  
140	SPU_000278	OG0010262	NA	Tubgcp2	tubulin, gamma complex associated protein 2	NP_006650
141	SPU_000279	OG0007315	CYP17	Cyp17a1	Cytochrome P450 Family 17	
142	SPU_000280	OG0006679	NA	Zc2p1L	zinc finger (C2H2/SWIM)-1 like	XP_002123387.1
143	SPU_000281	OG0006438	NA	Cat	catalase	9622234
144	SPU_000282	OG0004800	NA	Cry1/2L	Cryptochrome 1, Photolyase-like	BC022174
145	SPU_000285	OG0002399	NA	Copz1	coatomer protein complex, subunit zeta 1; Copz1_1	XP_002730992
146	SPU_000286	OG0003751	NA	Commd4	COMM domain containing 4	NP_060298   
147	SPU_000287	OG0010030	poly (ADP-ribose) polymerase	Vparpf_3	NA	NP_006428
148	SPU_000291	OG0000716	TUSC2	Tusc2L	tumor suppressor candidate 2-like, Pdap2	XP_003973282
149	SPU_000295	OG0001168	SH3 superfamily, WD40 superfamily	Aht1L	Abelson helper integration site 1	NP_001071029.1
150	SPU_000296	OG0001282	gelsolin	Gelslnph	NA	49257782
151	SPU_000297	OG0011392	NA	Ints5	integrator complex subunit 5	XP_693062.2
152	SPU_000299	OG0001364	NA	RasaL2	RAS protein activator like 2	XP_001515620.1
153	SPU_000301	OG0001836	NA	Rdh	retinol dehydrogenase	58865958
154	SPU_000303	OG0003651	SRP/SR	Srp19	Signal recognition particle 19 kDa protein	NM_213343
155	SPU_000304	OG0006297	P_loop_NTPase superfamily, AAA family ATPase, Vps4_C superfamily	Vps4h	Vtalp-regulated AAA-type ATPase	XP_638572.1
156	SPU_000308	OG0008901	RhoGAP	Rhogap24l2	RhoGAP Like 2, Rho GTPase activating protein 24, ARHGAP24, p73 RhoGAP	NM_029270
157	SPU_000309	OG0000382	NA	AbcL	abc transporter	XP_001845787.1
158	SPU_000310	OG0007246	receptor tyrosine kinase	Vegfr10	vascular endothelial growth factor receptor-like with 10 Ig-type domains, Flt1/4-like, Kdr-like, VEGFR-10, Pdgfr/vegfrL	CAL91935
159	SPU_000311	OG0008480	WD domain (G-beta repeat)	Gemin5	gem (nuclear organelle) associated protein 5, Gemin5-2	ELK28344.1
160	SPU_000312	OG0010367	F-box superfamily	Fbxl21	F-box and leucine-rich repeat protein 21	XP_414624.2
161	SPU_000313	OG0008286	Mod_r superfamily	Vps37ha	vacuolar protein sorting 37 homolog A	XP_420687.1
162	SPU_000314	OG0012705	NA	Cnga3_2	Cyclic nucleotide gated channel, cone photoreceptor, alpha subunit (CNG channel 1) (CNG-1)	2493751
163	SPU_000316	OG0001423	PH-like superfamily	Inpp4b	inositol polyphosphate-4-phosphatase, type II, 105 kDa isoform 4	XP_001091997.1
164	SPU_000318	OG0010499	PRHOXNB	Prhoxnb	NA	NA
165	SPU_000319	OG0010717	alpha-crystallin-Hsps_p23-like superfamily	Nudcd2l	NudC domain containing 2	CAJ83725.1
166	SPU_000320	OG0005401	DUF4606	C8orf48L	chromosome 8 open reading frame 48 (human)-like, Hypp_1248	
167	SPU_000321	OG0010389	UMP1 superfamily	PompL	proteasome maturation factor UMP1 family member	CAJ81620.1
168	SPU_000322	OG0002634	NA	Ubn2	ubinuclein 2	NP_775840.2
169	SPU_000324	OG0001478	AANH-like superfamily	Asnsd1	asparagine synthetase domain-containing protein 1	BAE01691.1
170	SPU_000325	OG0000945	NA	Lgr6L_2	leucine-rich repeat-containing G protein-coupled receptor 6-like-2	NP_001017403.1
171	SPU_000326	OG0005335	WD40 superfamily	Elp2h	elongation protein 2 homolog	XP_001367796.1
172	SPU_000329	OG0007088	NA	NA	NA	NA
173	SPU_000334	OG0009402	NA	Elovl4_1	Elongation of very long chain fatty acids protein 4	20137948
174	SPU_000335	OG0011949	NA	Hypp_1249	hypothetical protein-1249	NA
175	SPU_000338	OG0001517	NA	NA	NA	NA
176	SPU_000345	OG0001032	SAM superfamily	Phc2L	polyhomeotic homolog 2 (Drosophila)-like	NP_932157.1
177	SPU_000347	OG0002912	Gal-3-0_sulfur superfamily	Hypp_298	hypothetical protein-298; galactose-3-O-sulfotransferase 3-like	XP_001625510.1
178	SPU_000350	OG0005358	NA	NA	NA	NA
179	SPU_000352	OG0010973	NA	NA	NA	NA
180	SPU_000353	OG0008837	SCRC superfamily, WSC superfamily	Hypp_299	hypothetical protein-299	NA
181	SPU_000354	OG0003653	NA	Tmem14C	transmembrane protein 14C	NP_057546
182	SPU_000355	OG0007643	NA	NA	NA	NA
183	SPU_000361	OG0011043	PHD superfamily	Tcf19L	transcription factor 19-like	AAH02493.1
184	SPU_000363	OG0009505	NA	NA	NA	NA
185	SPU_000364	OG0006626	NA	Atp6v1h	ATPase, H+ transporting, lysosomal, V1 subunit H	37590343
186	SPU_000371	OG0009455	NA	Pcaf	P300/CBP-associated factor, K(lysine) acetyltransferase 2a/b (Kat2a/b)-like, Gcn2-like, P300/Cbpaf, P/CAF	XP_784879
187	SPU_000372	OG0005226	NA	Hypp_1256	hypothetical protein-1256	CAG04242.1
188	SPU_000376	OG0003833	LRR_RI superfamily, PDZ superfamily	Lrrc7	leucine rich repeat containing 7	NP_001074827.1
189	SPU_000379	OG0003708	NA	Rpl23a	ribosomal protein L23a	NP_000975
190	SPU_000380	OG0008248	NA	NA	NA	NA
191	SPU_000381	OG0006656	NA	FbsL_2	fibrosurfin-like-2	CAC20782.1
192	SPU_000393	OG0006632	NA	NA	NA	NA
193	SPU_000395	OG0006451	NA	Rpl6	ribosomal protein L6	NP_000961
194	SPU_000396	OG0008760	AdoMet_MTase superfamily	Hypp_300	hypothetical protein-300; human chromosome 4 open reading frame 23-like	XP_001608115.1
195	SPU_000403	OG0005564	NA	NA	NA	NA
196	SPU_000405	OG0003743	NOP2 superfamily	Rrp1L	ribosomal RNA processing 1 homolog (S. cerevisiae)-like	AAH14787.2
197	SPU_000417	OG0009800	acetyl-CoA synthetase superfamily	Slc27a1	solute carrier family 27, member 1	NP_001034691.1
198	SPU_000425	OG0000120	LRR/Ig receptor	Lrr/Igr_1	NA	NA
199	SPU_000426	OG0008872	NA	Arsj	arylsulfatase J	58201086
200	SPU_000427	OG0003155	NA	NA	NA	NA
201	SPU_000429	OG0005320	NA	NA	NA	NA
202	SPU_000432	OG0003573	actin superfamily	Actl16b	actin-like 6B	NP_113581.1
203	SPU_000435	OG0005760	myosin light chain kinase	MlckL	NA	P29294
204	SPU_000437	OG0004212	zf-C2H2	Lrp2L2	low density lipoprotein receptor-related protein 2-like, Z211	XP_005997701
205	SPU_000438	OG0005119	NA	p58-b	P58-B biomineralization protein, Hypp_302	XP_799905
206	SPU_000439	OG0000526	NA	p58-a	P58-A biomineralization protein, FcgbpL	 \tXP_003724499
207	SPU_000440	OG0002565	zf-C2H2	Z115	zinc finger 115	DAA19678.1
208	SPU_000441	OG0006089	NA	Igcam/Igcam	NA	NP_725507
209	SPU_000442	OG0005565	NA	Mlckb	myosin light chain kinase	XP_782150.1
210	SPU_000446	OG0009854	ARM_1 superfamily	Adrm1L	protein ADRM1 (adhesion-regulating molecule 1), putative ARM-1 protein	NP_989982.1
211	SPU_000447	OG0002534	alpha/beta hydrolase	Eh1	soluble epoxide hydrolase (sEH)-like 1, SPEH1 (partial), bifunctional epoxide hydrolase 2-like, Ephx2, Ephx2_2, Ephx2L1	
212	SPU_000450	OG0012582	NA	Kctd1	potassium channel tetramerization-domain containing 1	XP_537294.2
213	SPU_000455	OG0009199	NA	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase	62897607
214	SPU_000456	OG0005455	NA	Ppcs	 phosphopantothenoylcysteine synthetase 	NP_078940
215	SPU_000458	OG0005850	NA	Siat7b	beta-galactosamide alpha-2,6-sialyltransferase	40804568
216	SPU_000468	OG0007889	PLK	Plk2	polo-like kinase 2, Plk2/3/5-like, serum inducible kinase(SNK)-like, PRK-like	XP_002731770
217	SPU_000469	OG0007587	NA	Igcamr	NA	XP_794971
218	SPU_000471	OG0001976	NA	Rdh10_1	Retinol dehydrogenase 10	32451735
219	SPU_000472	OG0012316	NA	Slc17a5_12	Solute carrier family 17 member 5 (Sodium/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59)	48428688
220	SPU_000477	OG0010846	RRM superfamily	Hypp_304	hypothetical protein-304; heterogeneous nuclear ribonucleoprotein-like	AAU12170.1
221	SPU_000478	OG0009714	NA	Glod4L	glyoxalase domain containing 4	NP_001014249.1
222	SPU_000480	OG0004342	NA	Zfp509L	zinc finger protein 509-like, Zbtb49-like	
223	SPU_000482	OG0008999	NA	NA	NA	NA
224	SPU_000484	OG0011487	NA	Cytb561	cytochrome b561	14422389
225	SPU_000485	OG0006200	homeobox-PRD	Chx10	ceh-10 homeodomain containing homolog, Vsx1/2, visual system homeobox	XP_002736712
226	SPU_000486	OG0000851	NA	Tydp1	Tyrosyl-DNA phosphodiesterase 1	BC015474
227	SPU_000487	OG0005749	NA	Dak	dihydroxyacetone kinase 2 - part I	NP_056348
228	SPU_000488	OG0010072	NA	C11orf65L	human chromosome 11 open reading frame 65-like	EAW67116.1
229	SPU_000490	OG0004701	NA	NA	NA	NA
230	SPU_000491	OG0008964	PAP2-like superfamily	Ppap2cL	phosphatidic acid phosphatase type 2C-like	ACK36974.1
231	SPU_000493	OG0003435	Bardet-Biedl syndrome	Bbs9	Bardet-Biedl syndrome 9 protein, parathyroid hormone-responsive B1	NM_001016821
232	SPU_000496	OG0011982	NA	NA	NA	NA
233	SPU_000497	OG0004844	PTPA superfamily	Ppp2r4	protein phosphatase 2A activator, regulatory subunit 4	CAA51873.1
234	SPU_000498	OG0011863	7TM GPCR_1 superfamily	Gpr161L_2	G protein-coupled receptor 161-like-2	NP_001074595.1
235	SPU_000501	OG0004103	NA	Alms1L	Alstrom syndrome 1-like	EAW99730.1
236	SPU_000502	OG0002237	NA	Upf3	NA	NA
237	SPU_000503	OG0010919	Ras superfamily, RAB family	Rab11	RAS-Related Protein RAB-11, RAB11B	CAG46492.1
238	SPU_000508	OG0003923	G beta GTPase	GbA	GbetaA, gnb, Gbeta	NA
239	SPU_000509	OG0011009	NA	Katnbl1	katanin p80 subunit B like 1	XP_002740153
240	SPU_000510	OG0007254	zf-C4 superfamily	Gltscr2L	glioma tumor suppressor candidate region gene 2	NP_001033596.1
241	SPU_000511	OG0011511	NA	NA	NA	NA
242	SPU_000513	OG0009131	NADPH oxidase	Do1(Udx1)	urchin dual oxidase	AAU95793
243	SPU_000514	OG0001473	NA	Ksr1	kinase suppressor of Ras	NP_775869
244	SPU_000517	OG0000370	ZU5 superfamily	Unc44_264	ankyrin2,3/unc44-264	NA
245	SPU_000518	OG0005053	esterase-lipase superfamily	Bche-2	butyrylcholinesterase-2	EAW78592.1
246	SPU_000521	OG0008603	NA	NA	NA	NA
247	SPU_000522	OG0003152	NA	Aldh8a1	aldehyde dehydrogenase 8 family, member A1	66347753
248	SPU_000525	OG0009439	Glyco_transf_25 superfamily	Cercam	cerebral endothelial cell adhesion molecule; glycosyltransferase 25 domain containing 1	EAW87790.1
249	SPU_000529	OG0010506	Inhibitor_I9 superfamily, peptidase_S8 superfamily, CUB superfamily	Hypp_305	hypothetical protein-305; serine protease (bacterial)-like; peptidase S8 and S53 subtilisin kexin sedolisin (bacterial)-like	YP_001367387.1
250	SPU_000539	OG0009438	NA	NA	NA	NA
251	SPU_000540	OG0004683	zf-C2H2	Z98	zinc finger 98, Pogz-like	NP_766271
252	SPU_000542	OG0008325	NA	Clect/Pan_7	NA	NA
253	SPU_000544	OG0008395	ORC3	Orc3	ORC3, Origin recognition complex subunit 3	XP_532228.2
254	SPU_000545	OG0001820	BTB superfamily, BACK superfamily	Gtf3c1L	general transcription factor 3C polypeptide 1 (transcription factor III-alpha subunit)(TF3C-alpha)(TFIIIC 220kDa subunit)(TFIIIC 220)(TFIIIC box B-binding subunit) isoform 1	XP_547076.2
255	SPU_000548	OG0008181	clathrin	Vps41	vacuolar protein sorting 41 (yeast) homolog, Vps41h	XP_002608795
256	SPU_000551	OG0010098	Death superfamily	Hypp_306	hypothetical protein-306	NA
257	SPU_000552	OG0010580	Ras superfamily, ARF family	Arf1	ADP-Ribosylation Factor 1	AF521667
258	SPU_000554	OG0006545	adhesion protein	Fn3/Igf_19	NA	NP_571905.1
259	SPU_000555	OG0005670	AdoMet_MTase superfamily	C20orf7L	human chromosome 20 open reading frame 7-like	NP_077025.2
260	SPU_000558	OG0000792	NA	NA	NA	NA
261	SPU_000559	OG0002310	zf-Sec23_Sec24 superfamily, Sec24-like superfamily, vWFA superfamily, Sec23_BS superfamily, Sec23_helical superfamily, gelsolin superfamily	Sec24b	SEC24 family, member B (S. cerevisiae)	CAA1-335.1
262	SPU_000560	OG0005175	RING-finger superfamily	March8l	membrane-associated ring finger (C3HC4) 8, isoform CRA_d	EAW86647.1
263	SPU_000561	OG0011600	NA	Fut11	Fucosyltransferase 11 (alpha (1,3) fucosyltransferase)	23271236
264	SPU_000562	OG0009908	NA	NA	NA	NA
265	SPU_000563	OG0001301	NA	Cdkl2	cyclin dependent kinase-like 2	XP_784044
266	SPU_000565	OG0000099	NA	Hypp_307	hypothetical protein-307	XP_002204682.1
267	SPU_000567	OG0004280	metalloprotease	He2	hatching enzyme, mmp, matrix metalloprotease	P91953
268	SPU_000570	OG0003503	NA	Hypp_308	hypothetical protein-308	NA
269	SPU_000572	OG0010828	NA	Creld1	cysteine-rich with EGF-like domains 1	AAH10804.1
270	SPU_000573	OG0010873	NA	Hypp_309	hypothetical protein-309	AAL40375.1
