"","spu_id","Orthogroup","family_member","common_name","synonyms","best_genbank_hit"
"9624","SPU_021429","OG0003262","DUF1126 superfamily, EFh superfamily","Efhc1","EF-hand domain (C-terminal) containing 1","EAX04370.1"
"9626","SPU_021441","OG0001924",NA,NA,NA,NA
"9642","SPU_021484","OG0006811","RING-finger superfamily","March6","membrane-associated ring finger (C3HC4) 6; E3 ubiquitin-protein ligase MARCH6","BAA25523.1"
"9691","SPU_021592","OG0002294",NA,"Cpc1","CPC1, Central Pair Complex 1",NA
"9780","SPU_021793","OG0006768",NA,"Slc8a2","solute carrier family 8 (sodium/calcium exchanger), member 2  ","22507355"
"9910","SPU_022075","OG0006614","histone","ClvhH2a",NA,NA
"9938","SPU_022153","OG0006459","casein kinase I alpha","Ck1a1","casein kinase I alpha-like, CKIa-like, Csnk1a1-like, SpCk1a1","NP_001158490"
"9959","SPU_022200","OG0003975",NA,"Wnk","''with no K (lysine)'' kinase","NP_065973"
"9974","SPU_022236","OG0009774","HSP40B","Hsp40B","DNAJ","AAH84307"
"9990","SPU_022260","OG0006824",NA,"Prps1","Ribose-phosphate pyrophosphokinase I (Phosphoribosyl pyrophosphate synthetase I) (PRS-I) (PPRibP) ","46397477"
"10194","SPU_022734","OG0003441",NA,"U2af2","U2 (RNU2) small nuclear RNA auxiliary factor 2 isoform a ","NP_009210"
"10276","SPU_022916","OG0003277","Frizzled","Fzd5/8","frizzled homolog 5 and 8-like, Frizz5/8, SpFz5/8","NP_001161547"
"10340","SPU_023049","OG0004256","DUF1075","Fam162","family with sequence similarity 162, Fam162a/b-like, Fam162a"," \tXP_002008475"
"10434","SPU_023253","OG0006471","7TM GPCR_1 superfamily","Htr6L_1","5-hydroxytryptamine (serotonin) receptor 6-like-1","AAH74995.1"
"10449","SPU_023288","OG0007082",NA,"Hypp_2210","Hypothetical protein_2210","XP_001175735"
"10491","SPU_023368","OG0004035","ankyrin superfamily, SOCS superfamily","Asb5","ankyrin repeat and SOCS box-containing 5","NP_543150.1"
"10698","SPU_023835","OG0006744",NA,NA,NA,NA
"10717","SPU_023876","OG0001294",NA,"Mlcka","myosin light chain kinase isoform 1",NA
"10736","SPU_023916","OG0000133",NA,NA,NA,NA
"10821","SPU_024103","OG0009926",NA,"HspD1","chaperonin ","NP_955472"
"10873","SPU_024221","OG0006909","sorting nexin","Snx2","sorting nexin 2-like, Snx1/2, Snx1 (Drosophila) homolog","NP_001171861"
"10943","SPU_024395","OG0002444",NA,"Camk4_1","calcium/calmodulin-dependent protein kinase IV, CaMK4, calspermin, Camk4b","XP_797047.1"
"11410","SPU_025468","OG0001015",NA,NA,NA,NA
"11476","SPU_025615","OG0009786","Retinoblastoma-associated protein","Rbl_1","retinoblastoma-like 1 and 2 -like (partial), Rbl1/2, Rbl1_1","XP_002737957"
"11559","SPU_025771","OG0006703",NA,"Rhogdi","Rho GDP disassociation inhibitor","BC106044"
"11652","SPU_025957","OG0001416",NA,"Nbea_2","neurobeachin-2","XP_001848700.1"
"11655","SPU_025963","OG0004115","pseudoU_synthasease superfamily","Pus7","pseudouridylate synthase 7 homolog (S. cerevisiae)","AAH08544.2"
"11974","SPU_026663","OG0010366",NA,"Tep1L_6","telomerase-associated protein 1-like-6","NP_009041.2"
"12059","SPU_026886","OG0009462",NA,"Rbm12L","RNA binding motif protein 12 ","NP_690051"
"12206","SPU_027239","OG0004494",NA,"Fit2L","fat-inducing transcript 2-like; C20orf142-like","NP_001073941.1"
"12312","SPU_027462","OG0007236","phospholipase C","Plcg","phospholipase C gamma, 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma, Plcg_1","XP_002742254"
"12530","SPU_027983","OG0010306",NA,NA,NA,NA
"12572","SPU_028094","OG0002544","RhoGEF","Rhogef10","ARHGEF10, Rho guanine nucleotide exchange factor 10","NM_014629"
"12613","SPU_028166","OG0005485","DUF2296 superfamily","Lnp","limb and neural patterns; KIAA1715 protein-like; lunapark-like","EDL79174.1"
"12704","SPU_028359","OG0010941","nucleoside_deaminase","Nsda","nucleoside_deaminase","BC085551.1"
"12712","SPU_028378","OG0004407",NA,"Hypp_2953","hypothetical protein-2953","XP_002224474.1"
"12736","SPU_028435","OG0009187",NA,"Hypp_2955","hypothetical protein-2955","EDO35841.1"
"12888","SPU_028778","OG0011365","CH superfamily","Gas2L2","growth arrest-specific 2 like 2","NP_001013781.1"
"12980","SPU_030141","OG0007939",NA,"IL17rL","IL17R-like,IL17RA-like","AAH11624"
